loan_amnt,loan_term_year,grade,int_rate,purpose,annual_inc,emp_length,verification_status,home_ownership,addr_state,dti,total_acc,total_pymnt,recoveries,collection_recovery_fee,loan_status,repaid,annual_return
31825,3,A,7.9,debt_consolidation,75000.0,5 years,Verified,MORTGAGE,NJ,14.03,26.0,34886.9137767411,0.0,0.0,Fully Paid,1,0.12419204659309635
10000,5,C,15.96,debt_consolidation,29120.0,2 years,Verified,RENT,FL,22.83,31.0,14577.2188537574,0.0,0.0,Fully Paid,1,0.2506237187696867
7000,3,C,15.96,credit_card,34000.0,7 years,Source Verified,RENT,CA,6.35,6.0,8854.5100035237,0.0,0.0,Fully Paid,1,0.22484018143088003
10800,3,B,9.91,moving,55596.0,2 years,Source Verified,RENT,CA,5.5,18.0,12159.1868702735,0.0,0.0,Fully Paid,1,0.12644104383823085
12500,5,B,12.69,debt_consolidation,27000.0,1 year,Verified,RENT,IL,16.04,24.0,16945.875952545503,0.0,0.0,Fully Paid,1,0.20599591942631745
12000,3,A,7.9,debt_consolidation,62300.0,10+ years,Not Verified,RENT,NJ,16.7,25.0,13517.3599969743,0.0,0.0,Fully Paid,1,0.12419204659309058
10000,3,B,10.65,other,27000.0,6 years,Verified,RENT,NY,11.47,10.0,11726.3200000003,0.0,0.0,Fully Paid,1,0.15760568853201673
15000,3,B,9.91,debt_consolidation,80000.0,8 years,Not Verified,MORTGAGE,IL,9.12,28.0,16177.770000000002,222.81,36.3708,Charged Off,0,0.11098060845692759
25600,3,B,9.91,credit_card,110000.0,9 years,Verified,RENT,CA,15.71,27.0,29698.51000000091,0.0,0.0,Fully Paid,1,0.14852188140955103
7000,3,B,10.65,debt_consolidation,40000.0,< 1 year,Not Verified,RENT,CA,7.38,12.0,8208.4100028986,0.0,0.0,Fully Paid,1,0.15760568853202273
12000,3,C,15.96,car,50000.0,4 years,Not Verified,RENT,CA,20.88,11.0,3531.77,588.76,5.49,Charged Off,0,-0.9735988898239185
12000,3,B,9.91,credit_card,46000.0,1 year,Not Verified,RENT,TX,8.11,12.0,13751.144738717,0.0,0.0,Fully Paid,1,0.14852188140954792
10000,3,B,10.65,credit_card,51400.0,2 years,Not Verified,RENT,TX,19.14,24.0,10576.4341135188,0.0,0.0,Fully Paid,1,0.08752773764649247
7100,3,D,16.77,debt_consolidation,33000.0,1 year,Verified,MORTGAGE,TX,24.0,8.0,9083.530004562,0.0,0.0,Fully Paid,1,0.23542020134223574
13000,5,B,12.69,debt_consolidation,30000.0,< 1 year,Source Verified,MORTGAGE,NJ,13.72,27.0,17402.2399867971,0.0,0.0,Fully Paid,1,0.2059959194263239
17500,5,D,17.27,small_business,40000.0,6 years,Verified,RENT,CA,19.47,6.0,13227.100007269306,0.0,0.0,Fully Paid,1,0.26898818941590497
16425,3,C,14.27,debt_consolidation,44544.0,4 years,Source Verified,RENT,CA,22.71,18.0,18174.8288097539,0.0,0.0,Fully Paid,1,0.1323968860118372
8200,5,F,21.28,small_business,75000.0,4 years,Source Verified,RENT,CA,12.48,11.0,4177.11,385.43,3.6,Charged Off,0,-0.5689391273470875
15000,3,C,14.65,credit_card,61000.0,2 years,Verified,OWN,FL,11.88,18.0,18565.148040058797,0.0,0.0,Fully Paid,1,0.2079131513775363
6400,3,D,16.77,debt_consolidation,75000.0,5 years,Not Verified,RENT,CA,20.22,27.0,4776.45,10.29,0.0,Charged Off,0,-0.27891625897796635
14400,3,A,8.9,debt_consolidation,150000.0,< 1 year,Source Verified,OWN,NY,14.85,38.0,16460.849998348,0.0,0.0,Fully Paid,1,0.13623399497288502
12000,3,C,14.65,debt_consolidation,90000.0,10+ years,Not Verified,RENT,NJ,16.56,36.0,12699.7120089012,0.0,0.0,Fully Paid,1,0.08305149520173183
11000,3,C,13.49,debt_consolidation,48000.0,10+ years,Verified,MORTGAGE,TX,21.82,29.0,13418.280003137,0.0,0.0,Fully Paid,1,0.1931119795647076
7250,5,F,21.67,debt_consolidation,75000.0,< 1 year,Verified,RENT,CA,24.82,19.0,8204.7740891575,0.0,0.0,Fully Paid,1,0.13379851208423976
15000,3,A,7.9,small_business,52000.0,1 year,Not Verified,MORTGAGE,TX,9.65,29.0,15557.6800842281,0.0,0.0,Fully Paid,1,0.07901359459624002
18000,5,E,19.91,debt_consolidation,65000.0,10+ years,Not Verified,MORTGAGE,FL,6.81,40.0,26034.66002330465,0.0,0.0,Fully Paid,1,0.26463221556103367
35000,5,D,17.27,home_improvement,150000.0,3 years,Verified,MORTGAGE,NY,7.51,31.0,28887.1000680414,0.0,0.0,Fully Paid,1,0.2076082446130607
11800,3,B,12.69,credit_card,42000.0,6 years,Source Verified,RENT,NY,9.86,13.0,14249.8400071008,0.0,0.0,Fully Paid,1,0.18300586238081884
4500,3,A,6.03,major_purchase,53000.0,4 years,Source Verified,RENT,CA,4.44,17.0,4930.5558913289005,0.0,0.0,Fully Paid,1,0.10200119248209871
7000,3,B,12.69,credit_card,35000.0,10+ years,Source Verified,RENT,CA,11.35,26.0,8453.2600013048,0.0,0.0,Fully Paid,1,0.18300586238082195
9200,3,B,12.42,debt_consolidation,60000.0,2 years,Source Verified,RENT,CA,19.96,19.0,10482.8438891705,0.0,0.0,Fully Paid,1,0.15742183969695867
4500,5,B,10.65,car,42000.0,< 1 year,Source Verified,MORTGAGE,TX,5.4,9.0,4910.6738556028995,0.0,0.0,Fully Paid,1,0.09667177256398185
12000,3,C,13.49,debt_consolidation,72000.0,4 years,Source Verified,RENT,CA,21.33,19.0,13990.9213166244,0.0,0.0,Fully Paid,1,0.17087305152975518
12000,3,B,10.65,credit_card,62000.0,< 1 year,Verified,RENT,TX,23.94,51.0,12780.0723889535,0.0,0.0,Fully Paid,1,0.08752773764649247
8200,5,E,19.42,debt_consolidation,120000.0,3 years,Source Verified,RENT,NY,2.8,6.0,11909.4500122327,0.0,0.0,Fully Paid,1,0.2665556892828693
10500,3,B,12.69,medical,66000.0,10+ years,Verified,RENT,CA,20.73,26.0,11233.319409561202,0.0,0.0,Fully Paid,1,0.08643599334064378
7000,3,B,11.71,debt_consolidation,39120.0,4 years,Not Verified,OWN,FL,21.01,26.0,7933.963622819699,0.0,0.0,Fully Paid,1,0.1485773289550414
3500,3,A,6.03,car,83000.0,10+ years,Verified,MORTGAGE,IL,2.31,28.0,3834.8581710968,0.0,0.0,Fully Paid,1,0.10200119248210449
6200,3,B,9.91,debt_consolidation,25000.0,2 years,Not Verified,RENT,CA,20.64,12.0,2456.33,262.38,2.54,Charged Off,0,-0.8325387514484528
6000,3,A,8.9,debt_consolidation,28800.0,8 years,Not Verified,OWN,NJ,13.17,13.0,6858.700001287802,0.0,0.0,Fully Paid,1,0.15714298607474775
7200,3,B,9.91,credit_card,135000.0,6 years,Not Verified,RENT,NY,6.12,18.0,8352.7099978118,0.0,0.0,Fully Paid,1,0.16946863821274483
9500,3,A,8.9,credit_card,50000.0,7 years,Not Verified,MORTGAGE,TX,8.18,13.0,10495.8212585438,0.0,0.0,Fully Paid,1,0.11419799273078257
18825,5,D,16.77,debt_consolidation,38000.0,10+ years,Verified,RENT,TX,23.18,7.0,18749.25,3874.79,670.8193000184,Charged Off,0,-0.00649161159990197
24000,3,B,10.65,debt_consolidation,45000.0,10+ years,Verified,RENT,CA,14.8,9.0,28143.250008287203,0.0,0.0,Fully Paid,1,0.15760568853201362
6000,3,C,13.49,debt_consolidation,80000.0,10+ years,Not Verified,RENT,CA,11.58,16.0,7328.9200015949,0.0,0.0,Fully Paid,1,0.19311197956469828
26800,5,F,20.89,debt_consolidation,120000.0,3 years,Verified,MORTGAGE,FL,12.15,18.0,32895.8629327521,0.0,0.0,Fully Paid,1,0.17989870181233925
8000,3,B,12.69,debt_consolidation,35000.0,5 years,Not Verified,MORTGAGE,IL,10.05,18.0,9000.1432292826,0.0,0.0,Fully Paid,1,0.13736422493228395
10000,3,D,18.25,credit_card,75000.0,1 year,Source Verified,RENT,CA,24.14,26.0,11730.599999999922,229.06,2.2906,Charged Off,0,0.1716057983756034
10000,3,A,8.9,debt_consolidation,24000.0,6 years,Verified,RENT,CA,7.0,21.0,10869.330548018,0.0,0.0,Fully Paid,1,0.11419799273078257
10000,3,A,7.9,debt_consolidation,43000.0,1 year,Not Verified,RENT,CA,25.26,16.0,11264.4800000004,0.0,0.0,Fully Paid,1,0.12419204659309058
12000,3,B,9.91,debt_consolidation,50000.0,1 year,Not Verified,RENT,CA,16.44,25.0,13921.1799976946,0.0,0.0,Fully Paid,1,0.16946863821274172
10000,3,B,9.91,debt_consolidation,31200.0,3 years,Source Verified,RENT,NY,14.81,19.0,10904.8390256439,0.0,0.0,Fully Paid,1,0.10314831149533665
28000,5,E,19.91,debt_consolidation,52000.0,10+ years,Verified,RENT,TX,20.7,16.0,12181.32,3140.41,563.7887999982,Charged Off,0,0.0036534790969953157
18000,3,A,7.9,debt_consolidation,56964.0,10+ years,Source Verified,RENT,CA,27.55,20.0,20276.0602951694,0.0,0.0,Fully Paid,1,0.12419204659309635
2500,3,C,14.27,debt_consolidation,49500.0,7 years,Source Verified,RENT,FL,10.33,20.0,2529.9020833332997,0.0,0.0,Fully Paid,1,0.048860227206690476
35000,3,A,8.9,debt_consolidation,125000.0,6 years,Verified,MORTGAGE,CA,22.71,32.0,40009.00998998821,0.0,0.0,Fully Paid,1,0.13623399497289101
10000,3,A,7.51,credit_card,33000.0,3 years,Not Verified,RENT,NJ,9.75,19.0,11028.357497108302,0.0,0.0,Fully Paid,1,0.11952893829637334
24000,3,C,15.96,home_improvement,90000.0,8 years,Source Verified,MORTGAGE,CA,9.17,23.0,5903.1,7.42,0.0,Charged Off,0,-0.9898506948078962
6000,3,B,11.71,credit_card,90000.0,1 year,Not Verified,RENT,NJ,2.97,23.0,7041.9115922401,0.0,0.0,Fully Paid,1,0.17073779110430265
10000,5,B,12.69,debt_consolidation,56000.0,2 years,Source Verified,MORTGAGE,CA,10.82,18.0,12739.0699999999,0.0,0.0,Fully Paid,1,0.18146048015103178
14000,3,C,14.27,debt_consolidation,52800.0,4 years,Not Verified,RENT,CA,7.36,14.0,14488.2663221248,0.0,0.0,Fully Paid,1,0.07830237392960582
13500,3,B,9.91,debt_consolidation,38000.0,7 years,Verified,RENT,CA,12.38,7.0,15659.005462385,0.0,0.0,Fully Paid,1,0.14852188140955103
6000,3,B,10.65,home_improvement,87000.0,6 years,Not Verified,MORTGAGE,NJ,12.86,22.0,7000.2325278835,0.0,0.0,Fully Paid,1,0.15760568853201362
8450,5,D,16.77,debt_consolidation,25000.0,5 years,Verified,OWN,IL,22.51,21.0,12206.2200108979,0.0,0.0,Fully Paid,1,0.2540598271727672
10000,3,B,11.71,debt_consolidation,60000.0,8 years,Not Verified,RENT,CA,22.08,26.0,6002.38,319.61,57.5028,Charged Off,0,-0.4511513539527684
13475,5,C,13.49,credit_card,25000.0,10+ years,Verified,RENT,CA,21.89,14.0,6199.8,0.91,0.0,Charged Off,0,-0.5775420466627361
7200,3,B,12.42,major_purchase,48000.0,5 years,Not Verified,RENT,IL,17.43,10.0,8677.6441404686,0.0,0.0,Fully Paid,1,0.20065399542884355
12000,3,C,14.27,debt_consolidation,57000.0,< 1 year,Verified,RENT,CA,10.86,11.0,14401.595726905902,0.0,0.0,Fully Paid,1,0.18077193755958798
15000,3,D,17.27,house,44400.0,2 years,Source Verified,MORTGAGE,FL,3.59,16.0,17994.7132487339,0.0,0.0,Fully Paid,1,0.19591441896085016
10000,3,A,6.62,credit_card,70000.0,5 years,Not Verified,MORTGAGE,NY,16.78,18.0,10903.4743024262,0.0,0.0,Fully Paid,1,0.10895683625399633
8000,3,C,14.65,car,28000.0,3 years,Not Verified,RENT,CA,12.6,11.0,8637.0152046329,0.0,0.0,Fully Paid,1,0.11089441585637339
6000,3,C,14.27,car,94800.0,10+ years,Verified,MORTGAGE,TX,24.53,30.0,7217.5475451001,0.0,0.0,Fully Paid,1,0.20304518801323757
16000,5,B,9.91,debt_consolidation,40000.0,10+ years,Verified,OWN,FL,9.39,23.0,20209.060000031,0.0,0.0,Fully Paid,1,0.16937611678322506
2500,3,A,7.51,debt_consolidation,12000.0,10+ years,Source Verified,OWN,CA,16.3,20.0,1838.88,10.08,0.0,Charged Off,0,-0.23706637966435196
25000,3,B,12.42,debt_consolidation,225000.0,2 years,Verified,RENT,NJ,8.32,23.0,30073.6800000018,0.0,0.0,Fully Paid,1,0.17961362743603315
10000,3,C,13.49,small_business,45900.0,2 years,Verified,RENT,CA,24.97,12.0,12177.6254400066,0.0,0.0,Fully Paid,1,0.1931119795647045
7325,3,B,12.69,debt_consolidation,42000.0,1 year,Not Verified,RENT,FL,22.57,29.0,8845.7500004562,0.0,0.0,Fully Paid,1,0.18300586238080951
4000,3,B,12.42,credit_card,135000.0,5 years,Verified,RENT,NY,12.12,21.0,4337.4252253951,0.0,0.0,Fully Paid,1,0.10925619481725812
10000,3,C,13.49,small_business,65000.0,5 years,Not Verified,RENT,CA,6.92,17.0,9270.84,459.53,4.4878,Charged Off,0,-0.052365633033820025
7750,3,D,17.27,debt_consolidation,24000.0,< 1 year,Not Verified,RENT,IL,16.1,7.0,6934.0,11.91,0.0,Charged Off,0,-0.08974994832460326
20000,5,F,20.89,debt_consolidation,70000.0,6 years,Source Verified,RENT,FL,16.63,24.0,5427.53,1075.18,10.48,Charged Off,0,-0.9317620025444162
9600,3,B,12.42,debt_consolidation,65000.0,10+ years,Verified,RENT,NY,11.65,11.0,11338.81667511457,0.0,0.0,Fully Paid,1,0.17961362743602383
21000,5,B,11.71,debt_consolidation,60000.0,3 years,Not Verified,RENT,CA,6.62,11.0,3712.5599999999986,4.32,0.0,Charged Off,0,-0.9908315112553412
13350,3,B,12.42,debt_consolidation,43000.0,10+ years,Not Verified,RENT,CA,20.57,15.0,16059.3700018957,0.0,0.0,Fully Paid,1,0.17961362743602383
15000,3,D,17.27,debt_consolidation,75000.0,8 years,Source Verified,RENT,CA,16.03,17.0,10199.39,16.15,5.64,Charged Off,0,-0.3823632951534426
11000,5,C,13.49,debt_consolidation,129000.0,10+ years,Verified,MORTGAGE,CA,10.94,31.0,15121.770016484,0.0,0.0,Fully Paid,1,0.21675650747249176
35000,3,B,10.65,debt_consolidation,168000.0,2 years,Verified,MORTGAGE,TX,3.17,22.0,38061.50487639249,0.0,0.0,Fully Paid,1,0.11216057974983529
16000,3,B,12.69,debt_consolidation,58500.0,1 year,Source Verified,RENT,IL,20.64,10.0,12295.72,10.47,1.7799000028999998,Charged Off,0,-0.22880404072082017
12000,3,B,10.65,credit_card,60000.0,5 years,Not Verified,RENT,CA,10.84,18.0,14071.629997721298,0.0,0.0,Fully Paid,1,0.15760568853201362
8400,5,D,16.77,major_purchase,87996.0,5 years,Not Verified,RENT,NY,11.35,13.0,12290.6400143918,0.0,0.0,Fully Paid,1,0.26194547028699544
12000,3,C,14.27,other,70000.0,8 years,Not Verified,MORTGAGE,NY,8.4,12.0,4249.37,551.63,5.32,Charged Off,0,-0.9120130948980397
9000,3,B,12.69,debt_consolidation,50000.0,5 years,Source Verified,RENT,NY,17.81,21.0,10868.4800009336,0.0,0.0,Fully Paid,1,0.1830058623808064
20000,3,C,13.49,debt_consolidation,75000.0,6 years,Verified,RENT,CA,22.38,17.0,23865.33884125,0.0,0.0,Fully Paid,1,0.1931119795647045
11500,3,C,15.27,debt_consolidation,36000.0,5 years,Not Verified,RENT,FL,21.1,14.0,14406.1899936083,0.0,0.0,Fully Paid,1,0.21589623485892862
13650,3,B,12.42,debt_consolidation,86000.0,10+ years,Not Verified,MORTGAGE,CA,12.29,34.0,8204.31,461.66,4.64,Charged Off,0,-0.4897782840514434
10500,3,D,16.29,debt_consolidation,30000.0,3 years,Source Verified,RENT,CA,15.0,8.0,2223.959999999999,1.8,0.0,Charged Off,0,-0.9974119299492336
12000,3,B,9.91,debt_consolidation,60000.0,2 years,Not Verified,RENT,CA,15.5,21.0,13921.1799973113,0.0,0.0,Fully Paid,1,0.16946863821274172
11500,3,C,15.27,credit_card,44200.0,10+ years,Verified,MORTGAGE,CA,21.69,11.0,13605.5307764023,0.0,0.0,Fully Paid,1,0.17000714885514112
2000,3,C,15.27,moving,41000.0,2 years,Verified,RENT,TX,17.74,11.0,2520.401455858799,0.0,0.0,Fully Paid,1,0.2370427628359244
15075,3,C,14.27,debt_consolidation,35000.0,10+ years,Verified,RENT,TX,20.16,14.0,15502.77,519.28,5.0368000024,Charged Off,0,0.04518738607364314
12000,3,B,12.42,credit_card,105000.0,9 years,Not Verified,MORTGAGE,TX,13.98,25.0,14435.3499946473,0.0,0.0,Fully Paid,1,0.17961362743602693
8650,3,C,14.27,credit_card,45000.0,4 years,Source Verified,MORTGAGE,FL,7.6,23.0,10683.7299969514,0.0,0.0,Fully Paid,1,0.20304518801324067
21000,5,D,17.27,debt_consolidation,109000.0,10+ years,Verified,MORTGAGE,NJ,7.75,16.0,17607.9600330977,0.0,0.0,Fully Paid,1,0.26898818941590164
16000,5,D,17.27,debt_consolidation,50000.0,2 years,Source Verified,RENT,TX,11.04,16.0,23997.9874455877,0.0,0.0,Fully Paid,1,0.26898818941591807
12000,3,B,12.42,debt_consolidation,83000.0,2 years,Not Verified,RENT,CA,11.81,61.0,14435.349995621598,0.0,0.0,Fully Paid,1,0.17961362743602693
9500,3,B,12.69,moving,52500.0,< 1 year,Source Verified,MORTGAGE,CA,23.54,42.0,7010.96,8.8,0.0,Charged Off,0,-0.27413348826890815
14400,3,C,13.49,debt_consolidation,60000.0,10+ years,Not Verified,MORTGAGE,FL,16.92,26.0,15454.5942150531,0.0,0.0,Fully Paid,1,0.09635865993189552
4000,3,A,7.51,major_purchase,65000.0,< 1 year,Source Verified,RENT,CA,18.17,24.0,4182.6375610995,0.0,0.0,Fully Paid,1,0.07438849521906565
1500,3,D,17.27,debt_consolidation,144000.0,10+ years,Verified,MORTGAGE,CA,8.23,14.0,1521.6,0.0,0.0,Fully Paid,1,0.055054267451651206
19600,3,B,12.42,credit_card,75000.0,2 years,Verified,RENT,NY,11.62,12.0,21996.4573100536,0.0,0.0,Fully Paid,1,0.1339979495408934
10000,3,B,12.69,credit_card,70000.0,2 years,Not Verified,RENT,CA,2.69,6.0,6352.74,334.26,3.1464,Charged Off,0,-0.4327737145287208
3500,3,A,7.9,vacation,61440.0,7 years,Not Verified,MORTGAGE,CA,6.46,19.0,3942.5579929813,0.0,0.0,Fully Paid,1,0.12419204659309346
12000,3,A,6.62,debt_consolidation,56000.0,10+ years,Not Verified,MORTGAGE,FL,13.65,21.0,13263.9599979818,0.0,0.0,Fully Paid,1,0.10895683625401387
16500,3,A,8.9,debt_consolidation,47000.0,< 1 year,Source Verified,RENT,IL,9.06,24.0,18858.3199974092,0.0,0.0,Fully Paid,1,0.13623399497289412
15600,5,B,12.69,vacation,50000.0,10+ years,Source Verified,RENT,NY,5.78,11.0,17152.34,258.26,46.4867999991,Charged Off,0,0.09532871670063581
10800,3,B,12.42,credit_card,135000.0,8 years,Verified,RENT,CA,12.12,23.0,13007.7199947091,0.0,0.0,Fully Paid,1,0.20065399542884355
18825,5,D,17.58,debt_consolidation,44000.0,4 years,Verified,MORTGAGE,NY,24.98,20.0,28424.104063966,0.0,0.0,Fully Paid,1,0.2733755123024446
12000,3,B,9.91,debt_consolidation,80000.0,5 years,Not Verified,RENT,TX,14.83,21.0,13909.6199933256,0.0,0.0,Fully Paid,1,0.14852188140954792
8000,3,A,7.9,vacation,78000.0,2 years,Not Verified,RENT,NY,6.09,31.0,8847.2210688305,0.0,0.0,Fully Paid,1,0.12419204659309346
13200,5,D,17.27,small_business,26400.0,3 years,Source Verified,RENT,TX,9.64,12.0,10202.5805920904,0.0,0.0,Fully Paid,1,0.12761777127769292
10500,3,A,6.03,debt_consolidation,65000.0,10+ years,Source Verified,MORTGAGE,TX,10.36,16.0,11504.350002008,0.0,0.0,Fully Paid,1,0.1020011924821016
7350,3,B,11.71,debt_consolidation,33000.0,1 year,Verified,RENT,CA,22.51,23.0,8728.6250129828,0.0,0.0,Fully Paid,1,0.17073779110430576
10000,3,C,13.49,credit_card,50000.0,10+ years,Not Verified,MORTGAGE,CA,5.88,15.0,12082.6106256007,0.0,0.0,Fully Paid,1,0.1931119795647045
12000,3,A,8.9,other,80000.0,7 years,Not Verified,RENT,CA,9.13,16.0,10411.4,516.32,5.0436,Charged Off,0,-0.10558821048955236
7000,3,B,11.71,debt_consolidation,75000.0,2 years,Source Verified,RENT,CA,15.57,17.0,8335.0900020042,0.0,0.0,Fully Paid,1,0.17073779110430265
35000,5,E,18.64,debt_consolidation,85000.0,8 years,Verified,MORTGAGE,IL,12.0,50.0,28062.238743333302,0.0,0.0,Fully Paid,1,0.07356951286827207
1400,3,A,7.9,other,28800.0,1 year,Not Verified,RENT,FL,10.0,7.0,1478.9004771803,0.0,0.0,Fully Paid,1,0.07901359459625157
3200,3,B,9.91,debt_consolidation,61200.0,9 years,Not Verified,RENT,CA,2.16,17.0,3711.1400000004,0.0,0.0,Fully Paid,1,0.14852188140955103
8000,3,A,7.9,medical,40000.0,1 year,Not Verified,RENT,CA,13.35,11.0,8987.2226030151,0.0,0.0,Fully Paid,1,0.12419204659309346
11875,5,B,12.69,debt_consolidation,25920.0,< 1 year,Source Verified,RENT,CA,23.75,28.0,1187.65,653.31,117.1817999977,Charged Off,0,-0.9999999999999905
5000,3,A,6.03,home_improvement,54000.0,9 years,Not Verified,MORTGAGE,NJ,3.82,14.0,5411.159334863499,0.0,0.0,Fully Paid,1,0.1020011924821016
35000,3,A,8.9,debt_consolidation,85000.0,5 years,Verified,RENT,IL,17.73,13.0,37305.8611101414,0.0,0.0,Fully Paid,1,0.09095831401006405
18000,3,A,8.9,credit_card,78000.0,5 years,Verified,RENT,NY,7.0,10.0,19886.5256243804,0.0,0.0,Fully Paid,1,0.11419799273078857
5000,3,B,12.42,debt_consolidation,70000.0,2 years,Not Verified,RENT,TX,20.06,26.0,5501.5522922409,0.0,0.0,Fully Paid,1,0.10925619481724635
8000,3,C,15.96,credit_card,70000.0,4 years,Source Verified,RENT,IL,14.04,30.0,9998.9394794538,0.0,0.0,Fully Paid,1,0.22484018143088647
10000,3,A,7.51,debt_consolidation,50000.0,5 years,Verified,RENT,NJ,4.63,25.0,11021.305684908391,0.0,0.0,Fully Paid,1,0.11952893829637334
10400,3,B,9.91,debt_consolidation,40000.0,6 years,Source Verified,RENT,FL,11.67,19.0,12024.2903474494,0.0,0.0,Fully Paid,1,0.14852188140954792
6600,3,B,9.91,house,100000.0,1 year,Not Verified,MORTGAGE,FL,15.53,30.0,7276.236206525,0.0,0.0,Fully Paid,1,0.12644104383822796
12000,3,A,8.9,debt_consolidation,40000.0,7 years,Not Verified,OWN,NJ,9.45,20.0,13717.3899962254,0.0,0.0,Fully Paid,1,0.15714298607474775
13250,3,D,17.27,debt_consolidation,52000.0,10+ years,Verified,RENT,NY,23.7,18.0,15655.2062897797,0.0,0.0,Fully Paid,1,0.19591441896085948
12000,3,B,11.71,debt_consolidation,92500.0,3 years,Source Verified,RENT,CA,15.97,21.0,14288.7699972531,0.0,0.0,Fully Paid,1,0.17073779110430265
25000,3,B,9.91,debt_consolidation,61000.0,9 years,Source Verified,RENT,CA,10.35,10.0,29002.420000002006,0.0,0.0,Fully Paid,1,0.14852188140955103
12000,3,A,7.51,credit_card,68000.0,10+ years,Not Verified,MORTGAGE,CA,7.08,34.0,12554.8170166136,0.0,0.0,Fully Paid,1,0.07438849521905988
14400,3,B,11.71,credit_card,80000.0,1 year,Not Verified,RENT,CA,16.35,16.0,15544.0067642775,0.0,0.0,Fully Paid,1,0.1004923123673287
10000,3,B,12.42,credit_card,43000.0,10+ years,Not Verified,RENT,NY,11.58,33.0,12029.4499999997,0.0,0.0,Fully Paid,1,0.1796136274360176
8000,3,B,11.71,credit_card,150000.0,1 year,Not Verified,RENT,NY,2.48,8.0,9525.8699999994,0.0,0.0,Fully Paid,1,0.17073779110430265
30000,5,B,12.42,small_business,70000.0,3 years,Source Verified,RENT,TX,0.94,14.0,17183.470000000005,3005.98,30.0165999979,Charged Off,0,-0.3736742149502056
18000,5,D,16.77,home_improvement,40000.0,6 years,Not Verified,OWN,CA,18.42,20.0,11229.37,1899.49,18.8164000016,Charged Off,0,-0.3615894019689123
14000,3,C,14.27,debt_consolidation,80000.0,6 years,Not Verified,RENT,CA,16.21,11.0,17291.6500102088,0.0,0.0,Fully Paid,1,0.20304518801325022
